Gender,AGE,Locality,Educational Qualification,Job_Type,Monthly Income,Score
Woman,52,Village,9,8,10,1.125
Man,63,Village,6,10,7,1.265625
Woman,51,Suburbs,7,5,5,0.188802083
Woman,27,Village,8,9,8,21.18880208
Man,28,Village,7,8,5,3.77360026
Man,28,Village,7,9,5,2.943400065
Man,22,City,8,4.5,4,2.735850016
Man,24,City,9,9,7,3.183962504
Man,58,Suburbs,3,6,4,0.348663542
Woman,17,City,7,4.5,4,0.112388629
Man,43,Suburbs,8,8,7,1.139048579
Man,20,Suburbs,8,4.5,4,0
Man,27,City,9,4.5,8,11
Woman,27,City,9,9,10,32
Man,26,Suburbs,9,4.5,7,51
Woman,23,Village,8,9,5,17.5
Woman,24,Suburbs,8,9,7,3.583333333
Woman,25,Suburbs,8,8,9,11.79166667
Man,57,Suburbs,8,10,10,8.131944444
Woman,25,Suburbs,8,8,4,14.06597222
Man,32,City,7,9,5,5.516493056
Man,26,Village,8,7,4,1.814561632
Woman,25,Village,9,4.5,4,22.81456163
Man,26,Suburbs,9,8,8,22.40728082
Man,25,Village,8,4.5,7,21.20364041
Woman,19,City,7,4.5,6,0
Man,24,City,8,8,9,1.125
Man,30,Suburbs,9,9,6,2.78125
Man,24,Village,8,9,8,23.78125
Woman,25,Suburbs,7,5,4,22.890625
Man,24,Suburbs,8,8,10,43.890625
Woman,23,Suburbs,8,7,4,3.740885417
Man,28,Suburbs,8,4.5,6,24.74088542
Man,20,Suburbs,7,10,7,0
Man,22,Suburbs,9,4.5,4,0
Man,24,Suburbs,8,9,6,11
Man,25,City,9,4.5,5,32
Man,50,Suburbs,8,9,10,53
Man,27,City,8,10,6,36.5
Man,27,Village,8,9,6,28.25
Woman,23,Suburbs,8,9,6,9.5625
Man,24,Suburbs,9,4.5,4,15.78125
Woman,27,City,9,5,5,6.4453125
Woman,26,Village,8,8,7,3.611328125
Man,24,Suburbs,8,7,4,11.80566406
Man,25,City,9,4.5,4,0
Man,18,City,5,10,7,10
Man,22,Village,6,10,5,16
Man,26,City,9,9,7,37
Man,24,Suburbs,9,4.5,5,29.5
Man,26,Village,9,7,4,2.541666667
Woman,36,City,8,5,4,0.295138889
Woman,27,City,9,5,5,2.573784722
Man,23,City,8,4.5,6,11.28689236
Man,27,Village,8,9,6,16.64344618
Woman,25,Suburbs,8,9,6,12.41086155
Man,24,Suburbs,7,9,4,0
Woman,21,City,7,7,4,0.083333333
Man,20,Suburbs,8,4.5,4,7.361111111
Man,21,City,8,4.5,4,14.68055556
Man,28,Suburbs,8,9,7,2.960069444
Man,37,Suburbs,5,9,5,1.495008681
Man,47,Village,3,7,4,0.20791739
Man,20,City,7,4.5,4,0.100659783
Woman,43,Village,5,5,4,0
Man,26,City,8,9,6,11
Man,30,Village,8,4.5,4,15.5
Man,22,Village,7,9,6,5.875
Man,27,Village,8,4.5,4,1.859375
Woman,20,Suburbs,6,9,5,8.71484375
Man,41,City,7,4.5,4,0.809570313
Woman,24,Village,8,9,4,1.226196289
Woman,25,City,8,9,6,2.806549072
Man,19,Village,4,9,6,12.40327454
Man,24,Suburbs,8,4.5,4,16.20163727
Woman,28,Village,8,9,7,19.10081863
Woman,27,City,8,9,7,20.55040932
Woman,19,Suburbs,6,9,5,3.693801165
Woman,24,Village,8,9,6,3.423450291
Woman,33,City,8,9,6,12.71172515
Woman,24,City,8,9,8,16.35586257
Man,24,Village,8,7,4,1.446321881
Woman,27,City,8,9,6,2.86158047
Woman,25,City,8,9,6,1.482697559
Woman,28,Suburbs,8,8,8,2.87067439
Woman,22,Village,8,9,6,12.43533719
Woman,41,Suburbs,7,5,8,8.239222866
Man,24,City,8,4.5,4,14.11961143
Woman,21,City,6,9,5,11.77990286
Man,28,Village,6,9,7,30.77990286
Man,29,City,8,4.5,4,26.38995143
Woman,26,City,8,9,7,47.38995143
Woman,19,Village,7,4.5,4,8.564991905
Woman,46,Village,8,10,6,0
Man,52,Suburbs,8,10,10,21
Man,21,Suburbs,8,4.5,4,20.5
Woman,25,Village,9,7,4,1.791666667
Woman,24,City,8,8,6,20.79166667
Woman,20,City,7,4.5,4,14.26388889
Man,28,City,7,9,6,18.13194444
Woman,28,Village,9,8,8,3.391493056
Man,19,Village,5,4.5,4,0.365957755
Woman,18,City,7,4.5,4,0.113829813
Man,25,Village,7,7,4,15.55691491
Man,24,City,8,4.5,4,36.55691491
Man,52,City,7,8,10,5.694614363
Man,50,Village,5,5,4,0
Woman,24,City,8,8,9,11
Woman,25,City,8,9,9,7.5
Man,25,Suburbs,9,4.5,4,28.5
Man,24,City,9,4.5,4,25.25
Man,21,Village,8,4.5,4,14.5625
Man,24,Suburbs,9,4.5,5,18.28125
Man,27,Suburbs,9,4.5,5,19.140625
Man,18,Suburbs,5,4.5,4,0
Man,18,City,5,4.5,4,0.083333333
Man,17,City,5,4.5,4,0
Man,16,Village,5,4.5,4,0
Man,23,Village,9,4.5,4,8.25
Man,27,Village,10,4.5,8,15.125
Woman,16,Suburbs,5,4.5,4,0
Woman,16,Suburbs,5,4.5,4,0.083333333
Man,25,Village,9,4.5,4,10.04166667
Man,55,Suburbs,4,7,4,5.010416667
Man,42,Suburbs,4,7,4,9.005208333
Man,24,Suburbs,4,7,7,0
Man,62,Suburbs,4,7,7,0
Man,53,Suburbs,4,7,5,0
Woman,34,Suburbs,5,5,5,6.5
Woman,80,Suburbs,0,5,4,1.9375
Woman,70,Suburbs,0,4,4,0.244791667
Woman,30,City,3,3,4,0.103732639
Woman,35,Suburbs,0,7,4,2.68395544
Woman,20,Suburbs,4,7,4,1.46049443
Woman,37,Suburbs,0,7,4,0.205041202
Woman,70,Suburbs,0,5,4,0.1004201
Woman,55,Suburbs,3,7,4,0
Woman,47,Suburbs,5,10,5,21
Woman,60,Suburbs,3,7,4,1.833333333
Woman,35,Suburbs,4,7,4,5.208333333
Woman,40,Suburbs,3,7,5,0.517361111
Man,58,Suburbs,8,9,6,0.126446759
Man,21,Suburbs,9,4.5,4,6.56322338
Man,21,Suburbs,7,7,5,0.630268615
Man,45,Suburbs,3,7,6,0.135855718
Man,62,Suburbs,5,7,4,0.094654643
Man,40,Suburbs,7,10,5,8.273663661
Man,24,Suburbs,7,10,6,15.13683183
Man,52,Suburbs,3,7,5,1.344735986
Man,53,Suburbs,3,7,5,0.195394665
Man,22,Suburbs,3,7,4,0.099616222
Man,49,Suburbs,3,0,4,1.137452028
Man,31,Suburbs,5,7,6,22.13745203
Man,58,Suburbs,0,7,5,1.928121002
Man,63,Suburbs,5,10,5,0.244010084
Man,70,Suburbs,7,7,6,0.103667507
Man,33,Suburbs,7,10,5,11.05183375
Man,50,Suburbs,0,7,5,11.01295844
Man,55,Suburbs,3,7,6,1.00107987
